Supported;Category;
x;Setup;//ocxXML/Header
x;;//ocxXML/Vessel
x;;//ocxXML/ClassCatalogue
x;;//ocxXML/ProcessLayer
x;;//ocxXML/Equipment
x;;//UnitsML
;;
;;
;;
;;
;;
;;
x;Hole Catalogue;ocxXML/ClassCatalogue/HoleShapeCatalogue/Hole2D/Contour 
x;;ocxXML/ClassCatalogue/HoleShapeCatalogue/Hole2D/ParametricCircle
x;;ocxXML/ClassCatalogue/HoleShapeCatalogue/Hole2D/RectangularHole
x;;ocxXML/ClassCatalogue/HoleShapeCatalogue/Hole2D/SymmetricalHole
x;;ocxXML/ClassCatalogue/HoleShapeCatalogue/Hole2D/SuperElliptical
x;;ocxXML/ClassCatalogue/HoleShapeCatalogue/Hole2D/RectangularMickeyMouseEars
x;Material Catalogue;ocxXML/ClassCatalogue/MaterialCatalogue/Material
x;BarSection Catalogue;ocxXML/ClassCatalogue/XsectionCatalogue/BarSection/BulbFlat
x;;ocxXML/ClassCatalogue/XsectionCatalogue/BarSection/FlatBar
x;;ocxXML/ClassCatalogue/XsectionCatalogue/BarSection/HalfRoundBar
x;;ocxXML/ClassCatalogue/XsectionCatalogue/BarSection/HexagonBar
x;;ocxXML/ClassCatalogue/XsectionCatalogue/BarSection/Ibar
x;;ocxXML/ClassCatalogue/XsectionCatalogue/BarSection/Lbar
x;;ocxXML/ClassCatalogue/XsectionCatalogue/BarSection/LbarOF
x;;ocxXML/ClassCatalogue/XsectionCatalogue/BarSection/LbarOW
x;;ocxXML/ClassCatalogue/XsectionCatalogue/BarSection/OctagonBar
x;;ocxXML/ClassCatalogue/XsectionCatalogue/BarSection/RectangularTube
x;;ocxXML/ClassCatalogue/XsectionCatalogue/BarSection/RoundBar
x;;ocxXML/ClassCatalogue/XsectionCatalogue/BarSection/SquareBar
x;;ocxXML/ClassCatalogue/XsectionCatalogue/BarSection/Tbar
x;;ocxXML/ClassCatalogue/XsectionCatalogue/BarSection/Tube
x;;ocxXML/ClassCatalogue/XsectionCatalogue/BarSection/Ubar
x;;ocxXML/ClassCatalogue/XsectionCatalogue/BarSection/Zbar
;;
;;
x;Units;ocxXML/UnitsML/DimensionSet/Dimension
x;;ocxXML/UnitsML/UnitSet/Unit/RootUnits/EnumeratedRootUnit
;;
x;Vessel Setup;ocxXML/Vessel/AngleTolerance
x;;ocxXML/Vessel/DistanceTolerance
;;
x;;ocxXML/Vessel/BuilderInformation
x;;ocxXML/Vessel/ReferenceSurfaces
x;;ocxXML/Vessel/ClassificationData/PrincipalParticulars
;;
x;Coordinate Systems;ocxXML/Vessel/CoordinateSystem/FrameTables/XrefPlanes/RefPlane
x;;ocxXML/Vessel/CoordinateSystem/FrameTables/YrefPlanes/RefPlane
x;;ocxXML/Vessel/CoordinateSystem/FrameTables/ZrefPlanes/RefPlane
x;;ocxXML/Vessel/CoordinateSystem/LocalCartesian/Origin/
x;;ocxXML/Vessel/CoordinateSystem/LocalCartesian/PrimaryAxis
x;;ocxXML/Vessel/CoordinateSystem/LocalCartesian/SecondaryAxis
;;
;;
;;
;;
;Panel;
;;
x;;ocxXML/Vessel/Panel/ComposedOf/Plate
x;;ocxXML/Vessel/Panel/ComposedOf/Plate/PhysicalProperties/CenterOfGravity
x;;ocxXML/Vessel/Panel/ComposedOf/Plate/PhysicalProperties/DryWeight
x;;ocxXML/Vessel/Panel/ComposedOf/Plate/PlateMaterial/Thickness
x;;ocxXML/Vessel/Panel/Description
x;;ocxXML/Vessel/Panel/LimitedBy/
x;;ocxXML/Vessel/Panel/OuterContour/
x;;ocxXML/Vessel/Panel/SplitBy/Seam
x;;ocxXML/Vessel/Panel/StiffenedBy/EdgeReinforcement
x;;ocxXML/Vessel/Panel/StiffenedBy/Stiffener
x;;ocxXML/Vessel/Panel/StiffenedBy/Stiffener/Inclination/FlangeDirection
x;;ocxXML/Vessel/Panel/StiffenedBy/Stiffener/Inclination/Position
x;;ocxXML/Vessel/Panel/StiffenedBy/Stiffener/Inclination/WebDirection
x;;ocxXML/Vessel/Panel/StiffenedBy/Stiffener/MaterialRef
x;;ocxXML/Vessel/Panel/StiffenedBy/Stiffener/PhysicalProperties/CenterOfGravity
x;;ocxXML/Vessel/Panel/StiffenedBy/Stiffener/PhysicalProperties/DryWeight
x;;ocxXML/Vessel/Panel/StiffenedBy/Stiffener/SectionRef
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;"ocxXML/Vessel/Panel/UnboundedGeometry/GridRef
ocxXML/Vessel/Panel/UnboundedGeometry/GridRef@localRef
ocxXML/Vessel/Panel/UnboundedGeometry/GridRef@ocx:GUIDRef
ocxXML/Vessel/Panel/UnboundedGeometry/GridRef@ocx:refType
ocxXML/Vessel/Panel/UnboundedGeometry/SurfaceRef
ocxXML/Vessel/Panel/UnboundedGeometry/SurfaceRef@localRef
ocxXML/Vessel/Panel/UnboundedGeometry/SurfaceRef@ocx:GUIDRef
ocxXML/Vessel/Panel/UnboundedGeometry/SurfaceRef@ocx:refType
"
