# Height;Flange Widtgh;c;r;Cross Section Area cm²;Metric Weight kg/m;Surface Area m²/m
60;4;13;3.5;3.58;2.81;146
60;5;13;3.5;4.18;3.28;148
60;6;13;3.5;4.78;3.75;150
80;5;14;4;5.41;4.25;189
80;6;14;4;6.21;4.88;191
80;7;14;4;7.00;5.50;194
80;8;14;4;7.80;6.12;196
100;6;15.5;4.5;7.74;6.08;234
100;7;15.5;4.5;8.74;6.86;236
100;8;15.5;4.5;9.74;7.65;238
120;6;17;5;9.32;7.32;276
120;7;17;5;10.52;8.26;278
120;8;17;5;11.72;9.2;280
140;7;19;5.5;12.43;9.75;320
140;8;19;5.5;13.83;10.85;322
140;9;19;5.5;15.2;11.9;324
160;7;22;6;14.6;11.46;365
160;8;22;6;16.2;12.72;367
160;9;22;6;17.8;13.97;369
180;8;25;7;18.86;14.8;411
180;9;25;7;20.86;16.22;413
180;10;25;7;22.46;17.63;415
180;11;25;7;24.26;19.04;417
200;9;28;8;23.66;18.57;457
200;10;28;8;25.66;20.14;459
200;11;28;8;27.66;21.71;461
200;12;28;8;29.66;23.28;463
220;10;31;9;29;22.77;503
220;11;31;9;31.2;24.5;506
220;12;31;9;33.4;26220;507
240;10;34;10;32.49;25.5;547
240;11;34;10;34.89;27.39;549
240;12;34;10;37.29;29.27;551
260;10;37;11;36.11;28.35;591
260;11;37;11;38.71;30.39;593
260;12;37;11;41.31;32.43;595
280;11;40;12;42.68;33.5;637
280;12;40;12;45.48;35.7;639
280;13;40;12;48.28;37.9;641
300;11;43;13;46.78;36.7;681
300;12;43;13;49.79;39.09;683
300;13;43;13;52.79;41.44;685
320;12;46;14;54.25;42.6;728
320;13;46;14;57.45;45.09;0.73
320;14;46;14;60.85;41.44;732
340;12;49;15;58.84;46.20;772
340;13;49;15;62.24;48.86;774
340;14;49;15;65.54;51.50;776
370;13;53.5;16.5;69.70;54.70;840
370;14;53.5;16.5;73.40;57.60;842
370;15;53.5;16.5;77.10;60.50;844
400;14;58;18;81.48;63.96;908
400;15;58;18;85.48;67.10;910
400;16;58;18;89.48;70.20;912
430;14;62.5;19.5;89.70;70.60;975
430;15;62.5;19.5;94,19;73.90;976
430;17;62.5;19.5;102.79;80.70;980
430;19;62.5;19.5;111.39;87.40;984
430;20;;19.5;115.00;90.80;986
